address,locality,lat,long
1627 Opelika Road,Auburn, AL 36830,32.6269799,-85.4473554
219 Interstate Drive,Greenville, AL 36037,31.8560798,-86.6352191
3201 Airport Blvd,Mobile, AL 36606,30.6750999,-88.1195423
416 S Watson Rd,Buckeye, AZ 85326,33.443302,-112.5571084
2453 E. Florence Blvd.,Casa Grande, AZ 85194,32.8790671,-111.681557
14925 Cordes Lakes Rd,Mayer, AZ 86333,34.3296789,-112.1213033
2650 South Beulah Blvd,Flagstaff, AZ 86001,35.174769,-111.662778
826 W Pima St.,Gila Bend, AZ 85337,32.9437609,-112.7346012
2096 Navajo Blvd,Holbrook, AZ 86025,34.9232455,-110.1454599
789 W Beale St,Kingman, AZ 86401,35.1911457,-114.0659897
1451 West Main St,Quartzsite, AZ 85346,33.6612297,-114.2418781
155 N Tegner,Wickenburg, AZ 85390,33.9701679,-112.7309587
310 N Madison Ave,Yuma, AZ 85364,32.7275961,-114.6200071
6950 El Camino Real,Atascadero, CA 93422,35.4863586,-120.6656352
2812 Lenwood Road,Barstow, CA 92311,34.8497858,-117.084904
555 McMurray Rd,Buellton, CA 93427,34.6154808,-120.1883839
811 S San Fernando Blvd.,Burbank, CA 91502,34.1749003,-118.301285
20673 Tracy Ave.,Buttonwillow, CA 93206,35.400244,-119.3975212
48400 Seminole Drive,Cabazon, CA 92230,33.9289171,-116.8158445
950 Hwy 99 W,Corning, CA 96021,39.9262522,-122.1980236
6000 Sepulveda Blvd.,Culver City, CA 90230,33.9854413,-118.395128
6701 Amador Plaza Road,Dublin, CA 94568,37.7027671,-121.9249649
3551 S Dogwood Rd,El Centro, CA 92243,32.7620049,-115.5313758
220 Iron Point Rd,Folsom, CA 95630,38.6428249,-121.1892151
17940 Newhope St,Fountain Valley, CA 92708,33.703083,-117.9341124
45500 Fremont Blvd,Fremont, CA 94538,37.4921407,-121.9436561
6709 N Riverside Dr,Fresno, CA 93722,36.836326,-119.91053
Gilroy Premium Outlets,Gilroy, CA 95020,37.0057816,-121.5682751
24505 W Dorris Ave,Coalinga, CA 93210,36.2531641,-120.2385342
42100 Jackson St,Indio, CA 92203,33.7426179,-116.2130484
1353 Brown Road,Inyokern, CA 93527,35.646639,-117.8126403
701 S Main St,Lone Pine, CA 93545,36.6007983,-118.0616864
1 Rocket Rd,Hawthorne, CA 90250,33.9205867,-118.3271398
1475 Tavern Road,Mammoth Lakes, CA 93546,37.644518,-118.965497
960 Perimeter Dr,Manteca, CA 95337,37.782459,-121.229836
16940 California 14,Mojave, CA 93501,35.0687396,-118.1741739
1901 Del Monte Blvd,Seaside, CA 93955,36.617085,-121.843824
1401 N. Shoreline Blvd.,Mountain View, CA 94043,37.4143233,-122.0773213
111 Morgan Way,Mt. Shasta, CA 96067,41.3094553,-122.3176262
2451 Needles HWY,Needles, CA 92363,34.8509025,-114.6239973
2751 Park View Ct,Oxnard, CA 93036,34.2404595,-119.1778109
401 Kenilworth Drive,Petaluma, CA 94952,38.2441978,-122.6296388
12642 Cultural Center Dr.,Rancho Cucamonga, CA 91739,34.1134805,-117.5325701
2410 Marine Avenue,Redondo Beach, CA 90278,33.8938739,-118.3666028
1151 Galleria Blvd,Roseville, CA 95678,38.7734416,-121.2692829
4361 Granite Drive,Rocklin, CA 95677,38.800372,-121.2107105
10155 Pacific Heights Blvd,San Diego, CA 92121,32.9028241,-117.1946356
31971 Camino Capistrano,San Juan Capistrano, CA 92675,33.4983856,-117.6628422
1200 Park Place,San Mateo, CA 94403,37.5460379,-122.2901919
5602 Dennis McCarthy Dr,Lebec, CA 93243,34.9866103,-118.9463004
40820 Winchester Rd.,Temecula, CA 92591,33.5246871,-117.1546301
11209 Brockway Road,Truckee, CA 96161,39.3220568,-120.1630182
11290 Donner Pass Rd,Truckee, CA 96161,39.3272037,-120.2064298
250 W Clay St.,Ukiah, CA 95482,39.1478433,-123.208606
321 Nut Tree Road,Vacaville, CA 95687,38.3644234,-121.9562196
215 North Cascade Avenue,Colorado Springs, CO 80903,38.8373289,-104.8245869
4310 Airport Way,Denver, CO 80239,39.7747926,-104.7951577
125 Wulfsohn Rd,Glenwood Springs, CO 81601,39.552446,-107.339322
2424 U.S-6,Grand Junction, CO 81505,39.0917396,-108.6018843
2221 6th St.,Limon, CO 80828,39.26895,-103.7088468
Suite 1175,Lone Tree, CO 80124,39.5616878,-104.8787103
309 Rainbow Dr,Silverthorne, CO 80498,39.6320616,-106.07182
9960 Santa Fe Trail,Trinidad, CO 81082,37.1337681,-104.5200587
I-95 North after exit 12,Darien, CT 6820,,
I-95 South after exit 10,Darien, CT 6820,,
3000 Merritt Parkway,Greenwich, CT 6830,41.0955762,-73.6339272
2000 Merritt Parkway,Greenwich, CT 6830,41.041203,-73.6730793
Milford Travel Plaza,Milford, CT 6460,,
Travel Plaza,Milford, CT 6460,,
1445 New Britain Ave.,West Hartford, CT 6110,41.7258355,-72.7572108
530 JFK Memorial Highway,Newark, DE 19725,39.6619802,-75.691442
